br	fr
C'hoant am eus da ganañ.	J'ai envie de chanter. 
Ar wirionez zo gantañ.	Il a raison.
Ar c'hi zo bras awalc'h.	Le chien est assez grand.
Na vezit ket e gortoz e rofen ar respontoù deoc’h.	Ne vous attendez pas à ce que je vous donne les réponses.
Reolennoù ar broponi hag ar yec’hederezh ne oant ket ar memes re ha bremañ. 	Les règles de propreté et d'hygiène n'étaient pas les mêmes que maintenant.
Paotred Mari-Robin o devoa kaset anezhi d'ar brizon.	Les gendarmes l'avaient envoyée en prison.
E vouezh a oa gouraouliet.	Sa voix était légèrement enrouée.
Setu amañ ur pardon.	En voilà une comédie.
Bezo du, bezo gwenn, pep gavr a gar he menn.	Qu'il soit noir, qu'il soit blanc, chaque chèvre aime son chevreau.
Echu eo.	C'est fini.
